Date	CubeStatusEnteringMethod	CubeStatus	CubeSolution	RobotoMoves	TotCubotinoMoves	EndingReason	RobotTime(s)
20260822_210538	screen sketch	LULBUDLBLBRBBRBDRDURUUFUBRBRFRFDURDRFLFFLFULUDLDDBDFLF	R1 L3 U3 D1 R1 (5f)	S3F1R1F2S1R3S1F1R3F2R1S3S3F1R1	17	solved	26
20260822_211612	screen sketch	DUUDUUDUURRRRRRRRRBFFBFFBFFUDDUDDUDDLLLLLLLLLBBFBBFBBF	L2 (1f)	S3F3R1S3R1	7	solved	11
20260822_213212	screen sketch	DUUDUUDUURRRRRRRRRBFFBFFBFFUDDUDDUDDLLLLLLLLLBBFBBFBBF	L2 (1f)	S3F3R1S3R1	7	solved	11
20260822_223841	screen sketch	DUUDUUDUURRRRRRRRRBFFBFFBFFUDDUDDUDDLLLLLLLLLBBFBBFBBF	L2 (1f)	S3F3R1S3R1	7	solved	11
20260822_231439	screen sketch	DUUDUUDUURRRRRRRRRBFFBFFBFFUDDUDDUDDLLLLLLLLLBBFBBFBBF	L2 (1f)	S3F3R1S3R1	7	solved	11
20260823_132914	screen sketch	DUUDUUDUURRRRRRRRRBFFBFFBFFUDDUDDUDDLLLLLLLLLBBFBBFBBF	L2 (1f)	S3F3R1S3R1	7	solved	11
20260823_132914	screen sketch	UUUUUUUUURRRRRRLLLFFFFFFBBBDDDDDDDDDLLLLLLRRRBBBBBBFFF	D2 (1f)	R1S3R1S3	4	solved	6
20260823_132914	screen sketch	UUUUUUUUURRRRRRLLLFFFFFFBBBDDDDDDDDDLLLLLLRRRBBBBBBFFF	D2 (1f)	R1S3R1S3	4	solved	6
20260824_204359	screen sketch	DUUDUUDUURRRRRRRRRBFFBFFBFFUDDUDDUDDLLLLLLLLLBBFBBFBBF	L2 (1f)	S3F3R1S3R1	7	solved	11
20260824_204359	screen sketch	LBDRUULRRULLDRLLUDUDBBFFBUUDFBRDBUBRFUFDLLFFRBRDFBLFDR	U2 F2 U1 B2 U3 R1 D1 F1 L3 B1 R3 L1 F2 U1 R2 U1 R2 L2 (18f)	F2R1S3R1S3F1R1S3R1S3F1R1S3S3F3R1S3R1S1F1R3S3F3R1F3R1S3F3R1S3F1S1R3S3F1R1F1S1R3F2R1S3F1R1S3R1S3S3F1R1S3F1R1S3R1S3F1R1F3R1S3R1S3F2R1S3R1S3	81	solved	122
20260824_205900	screen sketch	BDFDUBBBLURRDRFLFDDDFBFLRLUDUBUDRBLFLFRFLUURFURDLBULBR	B3 D2 B2 D3 F2 U3 F1 R2 U3 B1 L1 U3 R2 D2 L2 B2 D1 (17f)	F3S1R3S3F1R1S3R1S3F1R1S3R1S1F3R3F3R1S3R1S3F1S1R3S3F3R1S3F1R1S3R1F3S1R3F1R1S3F3R1S3F1S1R3S3F1R1S3R1S3F3R1S3R1S3F1R1S3R1F3R1S3R1S3S3F3R1	85	solved	129
20260824_213322	screen sketch	DUUDUUDUURRRRRRRRRBFFBFFBFFUDDUDDUDDLLLLLLLLLBBFBBFBBF	L2 (1f)	S3F3R1S3R1	7	solved	11
20260824_213322	screen sketch	RFFBULRBLFURFRDLULDRDUFDFLULBBDDRDFBUDFFLBBLUURBRBUDLR	U2 L1 U1 R1 D3 F3 L2 U1 L1 F2 U1 L2 F2 R1 L2 F2 B2 R3 (18f)	F2R1S3R1S3S3F1R1F3R1S3S3F1R1F1S1R3F3S1R3F3R1S3R1S3S3F1R1F3R1S3F1R1S3R1S3S3F1R1S3F3R1S3R1F1R1S3R1S3F3R1S3F2R1S3R1S3S3F1R1S3R1F2R1S3R1F3R3	85	solved	129
20260824_213322	screen sketch	UUUFUULDURLLLRRRBFDFFUFDDLDFFBBDDUULLRBLLFRRRFBBDBBDRB	U3 B2 L3 D3 L3 D1 F2 D3 L1 D1 B2 D1 F2 U3 B2 D2 B2 R2 (18f)	F2S1R3S3F1R1S3R1F3S1R3F1S1R3S1F1R3F3R1S3F1R1S3R1S3F1S1R3F3R1S3S3F3R1S3F3R1S3R1S3F3R1F3R1S3R1S3F1S1R3S3F1R1S3R1S3F3R1S3R1S3F3R1S3R1F1R1S3R1S3	89	solved	135
20260824_213322	screen sketch	BFRLULFDDFFBDRURUFDLRBFRDFUBDFLDRDBUUBLDLRBULURLFBBLUR	B1 F1 U2 B1 R2 F1 U2 L1 R2 D3 U2 B1 U3 F1 R2 B2 D3 R3 U3 (19f)	F3R1S3F2R1S3F1R1S3R1S3F3R1S3F3R1S3R1S3F1R1S3F1R1S3R1S3S3F1R1F2R1S3R1S3F1S1R3F2R1S3R1S3F1R1F3R3F3R1S3F1R1S3R1S3F3R1S3R1F3R3S1F1R3F1S1R3	84	solved	128
20260824_213322	screen sketch	DRLBUUUFBDRUDRLLDDFRRFFBULDBDFUDFRBLFULRLLUFRBDRUBBBLF	D2 B2 L2 B1 L2 F1 D2 F2 U2 F3 D1 R3 F2 D3 R2 F1 U2 L1 F3 (19f)	R1S3R1S3F1R1S3R1S3S3F3R1S3R1S3F3R1F1R1S3R1S3F3R1S3F3R1S3R1S3F3R1S3R1S3F1R1S3R1S3F1S1R3S3F1R1S1F1R3S3F3R1S3R1F1S1R3F1R1S3R1S3S3F1R1S3F1R1S3R1F3R1S3F1S1R3	90	solved	136
20260824_213322	screen sketch	UUUUUUUUURRRRRRFFFFFFFFFLLLDDDDDDDDDLLLLLLBBBBBBBBBRRR	D3 (1f)	S1R3	2	solved	3
20260824_213322	screen sketch	BRULUDBBFUBLRRBUFFUURUFDDDRFFBLDUDRLDBLDLLLFRFFRRBLDUB	U2 L1 U2 L1 B2 F2 R1 B1 U1 R3 D3 F2 L3 R3 F1 L2 U2 F3 (18f)	F2R1S3R1S3S3F1R1F3R1S3R1S3F3R1S3F3R1S3R1S3F2R1S3R1S3F1R1S3S3F3R1S3F1R1S1F1R3F1S1R3F3R1S3R1F1R3F2S1R3S3F1R1F1R1S3R1S3S3F3R1S3R1F3S1R3	83	solved	127
20260825_222110	screen sketch	LLULUBLUFLDRBRDULBBRURFURDFDLRDDUBRDFFUULFRRFBBDFBFLBD	F3 L3 B1 U2 D3 B3 R1 L3 B1 R2 F2 B2 L2 F2 D2 F2 B2 U3 (18f)	F1S1R3F1S1R3S3F1R1S3F1R1S3R1F2S1R3F3S1R3F3R1S3F2S1R3F1R1S3S3F3R1S3R1S3F1R1S3R1F2R1S3R1S3S3F1R1S3R1S3F3R1S3R1F3R1S3R1S3F3R1S3R1S3F2R1S3R1S3F1S1R3	88	solved	133
20260825_222110	screen sketch	BUBRUDBRBUBUDRDLBLLBLRFRDBDFLFLDUFDFDFDULURFRRFRLBLUFU	F1 B3 U1 D3 B1 R2 U2 D2 L2 U2 D2 F2 U2 D2 (14f)	F1R1S3F2S1R3F1R1S3F2S1R3F3R1S3F1R1S3R1S3S3F3R1S3R1F2R1S3R1S3S3F3R1S3R1S3F1R1S3R1F2R1S3R1S3F1R1S3R1S3F3R1S3R1S3F2R1S3R1S3	73	solved	110
20260901_124303	screen sketch	FUUFUUFUURRRRRRRRRDFFDFFDFFBDDBDDBDDLLLLLLLLLBBUBBUBBU	L1 (1f)	S3F3R1	5	solved	7
20260901_124303	screen sketch	FUUFUUFUURRRRRRRRRDFFDFFDFFBDDBDDBDDLLLLLLLLLBBUBBUBBU	L1 (1f)	S3F3R1	5	solved	8
20260901_124303	screen sketch	FUUFUUFUURRRRRRRRRDFFDFFDFFBDDBDDBDDLLLLLLLLLBBUBBUBBU	L1 (1f)	S3F3R1	5	solved	8
